id,slopeNumerator,slopeDenominator,yinterceptNumerator,yinterceptDenominator,category,reference,page
meterPerSecondSquared,1,1,0,1,metricSi,,
footPerSecondSquared,381,1250,0,1,english,doi:10.1007/978-1-4471-0003-4,339
