id,slopeNumerator,slopeDenominator,yinterceptNumerator,yinterceptDenominator,category,reference,page
meterPerSecond,1,1,0,1,metricSi,,
kilometerPerHour,3600,1000,0,1,metricSi
footPerSecond,381,1250,0,1,english,doi:10.1007/978-1-4471-0003-4,339
