metricSi
metricNonSi
english
constants
conventional
astronomical
byzantine
cornish
cypriot
czech
danish
dutch
estonian
finnish
frenchTraditional
frenchMesuresusuelles
german
greekTraditional
greekAncient
hungarian
icelandic
irish
italian
latvian
luxembourgian
maltese
norwegian
ottoman
polish
portugese
romanian
russian
scottish
serbian
slovak
spanish
swedish
swiss
welsh
roman
afghan
cambodian
chinese
hongkong
indianTraditional
indianAncient
indonesian
japanese
korean
mongolian
myanmar
nepalese
omani
philippine
pegu
singaporean
srilankan
syrian
taiwanese
tatar
thai
vietnamese
arabic
biblical
hindu
mesopotamian
persian
algerian
ethiopian
egyptianTraditional
egyptianAncient
eritrean
guinean
lybyan
malagasy
mauritian
moroccan
seychellois
somali
southafrican
tunisian
tanzanian
costarican
cuban
haitian
honduran
mexican
nicaraguan
puertorican
unitedstates
argentine
bolivian
brazilian
chilean
colombian
paraguayan
peruvian
uruguayan
vanezuelan
humorous
furlongfirkinfortnight
physical
custom
